1,1,13883
26,1,10
60,1,528
61,1,563
64,1,910
70,1,1962
92,1,63
113,1,1244
124,1,5254
137,1,221
167,1,4266
176,1,49
178,1,295
182,1,23
187,1,6015
200,1,128
211,1,303
247,1,386
248,1,524
250,1,55
271,1,23
287,1,76
317,1,2002
352,1,71
401,1,61012
402,1,7488
408,1,2178
417,1,3669
422,1,172
423,1,235
450,1,330
457,1,165
468,1,7
504,1,42
505,1,4753
531,1,450
539,1,398
540,1,71
553,1,16725
598,1,940
609,1,263
611,1,220
636,1,3127
639,1,719
647,1,332
710,1,3500
717,1,238
774,1,167
804,1,182
882,1,78
919,1,919
926,1,18
945,1,330
984,1,1971
998,1,109
1021,1,4
1050,1,15
1063,1,19
1097,1,1712
1121,1,157
1124,1,65
1212,1,276
1217,1,14
1290,1,2485
1315,1,332
1355,1,525
1362,1,451
1369,1,275
1393,1,148
1432,1,24657
1554,1,100
1556,1,111
1642,1,1
1667,1,2303
1687,1,19190
1699,1,2182
1716,1,721
1720,1,745
1765,1,37
1815,1,265
1853,1,1716
1870,1,166
265,2,68
358,2,924
431,2,18
506,2,894
650,2,443
945,2,195
950,2,15
1082,2,684
1434,2,2019
1513,2,125
1524,2,142
1535,2,93
1556,2,20
1560,2,118
1564,2,6
1836,2,95
1,3,11351
3,3,686
4,3,181
32,3,211
41,3,289
99,3,36
185,3,1284
229,3,957
295,3,308
337,3,140
345,3,1399
372,3,864
381,3,46
399,3,721
412,3,711
462,3,18
505,3,1914
590,3,66
598,3,489
602,3,1026
650,3,365
705,3,18
746,3,14
755,3,97
778,3,209
828,3,616
853,3,883
908,3,652
914,3,627
961,3,73
1009,3,151
1033,3,289
1036,3,284
1126,3,176
1131,3,233
1151,3,127
1253,3,342
1254,3,194
1348,3,196
1353,3,458
1362,3,271
1434,3,577
1576,3,28
1623,3,27
1626,3,48
1656,3,972
1660,3,3
1702,3,55
1720,3,88
1739,3,438
1765,3,47
1795,3,540
1832,3,1399
1875,3,2087
1,4,10300
60,4,125
124,4,470
136,4,61
265,4,133
413,4,115
564,4,560
1005,4,44
1118,4,37
1434,4,375
1560,4,92
1,5,8983
12,5,6
19,5,4097
22,5,5956
23,5,185
27,5,404
29,5,147
51,5,33
52,5,116
69,5,6
72,5,500
91,5,127
106,5,677
113,5,405
125,5,157
126,5,385
128,5,850
131,5,954
132,5,376
133,5,1108
139,5,82
142,5,502
198,5,28
214,5,8119
220,5,65
229,5,2783
236,5,1701
237,5,1363
240,5,1941
255,5,840
260,5,388
280,5,448
283,5,436
286,5,116
290,5,394
306,5,510
308,5,4954
311,5,32
312,5,52
325,5,518
329,5,10439
336,5,2188
340,5,214
364,5,20118
374,5,45
387,5,367
388,5,470
391,5,284
394,5,203
395,5,215
398,5,63
401,5,2518
447,5,1087
449,5,130
451,5,824
455,5,112
463,5,152
464,5,74
466,5,65
467,5,743
468,5,2
470,5,550
471,5,593
472,5,1086
478,5,3
488,5,126
493,5,227
500,5,211
503,5,120
532,5,248
534,5,2948
535,5,8222
544,5,2463
547,5,1790
553,5,1081
558,5,478
562,5,1168
567,5,358
569,5,9084
574,5,655
587,5,1623
591,5,173
605,5,1682
612,5,4473
628,5,2383
635,5,359
641,5,132
642,5,145
643,5,3185
656,5,92
666,5,1522
670,5,3203
675,5,856
682,5,148
684,5,13792
687,5,66
699,5,590
710,5,220
723,5,242
738,5,1520
740,5,11459
751,5,2004
758,5,7
761,5,214
777,5,240
791,5,1165
792,5,2573
793,5,517
794,5,134
799,5,575
810,5,668
819,5,1103
830,5,3147
835,5,163
839,5,41
878,5,355
879,5,2352
886,5,250
888,5,970
889,5,208
904,5,532
918,5,114
922,5,349
933,5,493
948,5,1490
965,5,164
969,5,1295
979,5,5070
981,5,1056
1001,5,1005
1009,5,4665
1011,5,357
1012,5,672
1025,5,230
1035,5,1384
1039,5,180
1069,5,72
1081,5,787
1082,5,1321
1085,5,2558
1086,5,2000
1094,5,67
1095,5,503
1119,5,2076
1125,5,15252
1126,5,769
1137,5,1173
1138,5,6788
1141,5,232
1143,5,598
1149,5,925
1156,5,1123
1164,5,1773
1174,5,58
1181,5,176
1182,5,5186
1183,5,3294
1187,5,520
1229,5,311
1236,5,1402
1259,5,145
1267,5,177
1309,5,68
1322,5,434
1330,5,2814
1343,5,564
1346,5,354
1372,5,745
1381,5,483
1384,5,5034
1385,5,5431
1405,5,494
1412,5,25
1413,5,308
1419,5,649
1434,5,660
1437,5,9864
1450,5,108
1452,5,185
1463,5,46
1470,5,568
1474,5,7953
1488,5,1991
1498,5,212
1502,5,503
1511,5,64
1548,5,238
1549,5,523
1554,5,312
1562,5,705
1570,5,247
1571,5,1867
1581,5,315
1584,5,77
1591,5,121
1592,5,151
1596,5,92
1598,5,1
1605,5,361
1615,5,148
1616,5,453
1624,5,134
1633,5,322
1637,5,449
1644,5,153
1645,5,493
1652,5,1235
1661,5,1043
1677,5,440
1698,5,158
1711,5,1245
1718,5,3518
1723,5,342
1725,5,2122
1729,5,24
1740,5,641
1754,5,707
1771,5,366
1777,5,2149
1787,5,127
1791,5,83
1819,5,330
1822,5,1269
1831,5,7204
1832,5,1245
1833,5,345
1840,5,96
1854,5,7
1856,5,320
1865,5,1068
1881,5,161
1882,5,8
1,6,6152
16,6,242
17,6,186
18,6,108
31,6,1129
36,6,74
41,6,2691
48,6,672
57,6,832
97,6,430
119,6,1266
121,6,132
133,6,1512
155,6,1754
184,6,84980
205,6,265
221,6,686
262,6,164
295,6,1225
324,6,29
337,6,245
359,6,153
360,6,539
361,6,137
367,6,82
372,6,409
392,6,223
406,6,5
435,6,133
442,6,224
452,6,108
465,6,242
520,6,1
524,6,81
563,6,454
569,6,202
594,6,549
611,6,212
625,6,140
650,6,591
658,6,479
671,6,159
692,6,891
697,6,307
710,6,310
726,6,34
803,6,70
823,6,232
844,6,1752
870,6,41
883,6,2205
902,6,63
917,6,162
928,6,99
955,6,167
961,6,23
964,6,136
965,6,144
973,6,34
1001,6,842
1013,6,820
1036,6,392
1039,6,137
1048,6,78
1056,6,133
1084,6,142
1087,6,318
1088,6,95
1091,6,657
1106,6,1162
1125,6,1589
1137,6,468
1157,6,109
1166,6,179
1178,6,262
1263,6,254
1285,6,64
1303,6,127
1311,6,320
1314,6,194
1328,6,63
1329,6,542
1333,6,578
1339,6,653
1343,6,214
1360,6,78
1361,6,7933
1365,6,881
1377,6,51
1391,6,18
